TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-26T14:22:40.022826;01;;1;Submit Clicked;7,12,16;n,e,r;;;;
2017-09-26T14:22:40.995817;01;;1;Submit Clicked;7,12,16;n,e,r;;;;
2017-09-26T14:22:40.996109;01;;1;Run Clicked;7,12,16;n,e,r;;;;
2017-09-26T14:22:41.045340;01;1;2;Sequence Generated;7,12,16;Flock North->Flock East->Rendezvous;462.796051;VALID;COMPLETE;
2017-09-26T14:23:11.370002;;;;Sequence table clicked! Item is Flock North;;;;;;
2017-09-26T14:23:14.074709;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-26T14:23:15.514865;;;;Delete button clicked! Item is Flock East;;;;;;
2017-09-26T14:23:19.010061;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:23:20.035057;;;;Add button clicked! Item is Flocking;;;;;;
2017-09-26T14:23:22.355079;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:23:24.892418;01;;2;Submit Clicked;7,12;r,i;;;;
2017-09-26T14:23:26.452935;01;;2;Submit Clicked;7,12;r,i;;;;
2017-09-26T14:23:26.453176;01;;2;Run Clicked;7,12;r,i;;;;
2017-09-26T14:23:26.484660;01;1;3;Sequence Generated;7,12;Rendezvous->Flocking;114.611328;VALID;INCOMPLETE;
2017-09-26T14:23:33.522393;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-26T14:23:36.578028;;;;Sequence table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:23:49.075092;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:23:49.945872;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-26T14:23:58.010821;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-26T14:23:58.945879;;;;Sequence table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:24:01.290935;;;;Delete button clicked! Item is Rendezvous;;;;;;
2017-09-26T14:24:02.178074;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-26T14:24:04.345948;;;;Sequence table clicked! Item is Flocking;;;;;;
2017-09-26T14:24:05.834860;;;;Delete button clicked! Item is Flocking;;;;;;
2017-09-26T14:24:06.250940;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-26T14:24:07.041855;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-26T14:24:12.563088;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:24:15.931481;01;;3;Submit Clicked;7,12;;;;;
2017-09-26T14:24:19.627597;01;;3;Submit Clicked;7,12;;;;;
2017-09-26T14:24:19.627829;01;;3;Run Clicked;7,12;;;;;
2017-09-26T14:24:19.700342;01;1;4;Sequence Generated;7,12;Flock North->Flock East;357.839325;VALID;INCOMPLETE;
2017-09-26T14:24:26.050042;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-26T14:24:29.089878;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:24:30.837848;01;;4;Submit Clicked;6,11,14;n,e;;;;
2017-09-26T14:24:31.875986;01;;4;Submit Clicked;6,11,14;n,e;;;;
2017-09-26T14:24:31.876284;01;;4;Run Clicked;6,11,14;n,e;;;;
2017-09-26T14:24:31.923282;01;1;5;Sequence Generated;6,11,14;Flock North->Flock East->Rendezvous;416.241486;VALID;COMPLETE;
2017-09-26T14:24:59.462774;01;;;Next Clicked;;;;;;
2017-09-26T14:25:12.970047;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-26T14:25:14.195037;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-26T14:25:15.385843;;;;Behavior table clicked! Item is Flocking;;;;;;
2017-09-26T14:25:16.363019;;;;Add button clicked! Item is Flocking;;;;;;
2017-09-26T14:25:20.905895;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-26T14:25:22.098997;;;;Add button clicked! Item is Flock East;;;;;;
2017-09-26T14:25:23.946053;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-26T14:25:25.066920;;;;Add button clicked! Item is Rendezvous;;;;;;
2017-09-26T14:25:25.858078;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-26T14:25:29.930049;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-26T14:25:32.426044;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:25:37.025802;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-26T14:25:39.256352;01;;0;Submit Clicked;6,9,19,22;n,i,e,r;;;;
2017-09-26T14:25:40.396037;01;;0;Submit Clicked;6,9,19,22;n,i,e,r;;;;
2017-09-26T14:25:40.396422;01;;0;Run Clicked;6,9,19,22;n,i,e,r;;;;
2017-09-26T14:25:40.439153;01;2;1;Sequence Generated;6,9,19,22;Flock North->Flocking->Flock East->Rendezvous;100000.000000;INVALID;INCOMPLETE;
2017-09-26T14:25:46.402029;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:25:48.313822;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-26T14:25:54.521814;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-26T14:25:59.293840;01;;1;Submit Clicked;6,10,15,18;n,i,e,r;;;;
2017-09-26T14:26:01.124317;01;;1;Submit Clicked;6,10,15,18;n,i,e,r;;;;
