TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-30T14:32:21.808168;17;0;7;Sequence Generated;10,15;Flock North->Flock East;100000.000000;INVALID;INCOMPLETE;
2017-09-30T14:32:24.694890;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:33:05.638940;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-30T14:33:05.871347;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-30T14:33:09.361930;17;;7;Submit Clicked;10,17;n,e;;;;
2017-09-30T14:33:11.872728;17;;7;Submit Clicked;10,17;n,e;;;;
2017-09-30T14:33:11.872992;17;;7;Run Clicked;10,17;n,e;;;;
2017-09-30T14:33:14.926944;17;0;8;Sequence Generated;10,17;Flock North->Flock East;100000.000000;INVALID;INCOMPLETE;
2017-09-30T14:33:23.727338;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:33:26.246961;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:33:29.310974;;;;Behavior table clicked! Item is Flock South;;;;;;
2017-09-30T14:33:30.239858;;;;Add button clicked! Item is Flock South;;;;;;
2017-09-30T14:33:32.257784;17;;8;Submit Clicked;10,17,22;n,e,s;;;;
2017-09-30T14:33:33.320960;17;;8;Submit Clicked;10,17,22;n,e,s;;;;
2017-09-30T14:33:33.321361;17;;8;Run Clicked;10,17,22;n,e,s;;;;
2017-09-30T14:33:37.360771;17;0;9;Sequence Generated;10,17,22;Flock North->Flock East->Flock South;100000.000000;INVALID;INCOMPLETE;
2017-09-30T14:34:09.654667;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-30T14:34:09.958722;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-30T14:34:14.080899;17;;9;Submit Clicked;10,16,21;n,e,s;;;;
2017-09-30T14:34:15.928730;17;;9;Submit Clicked;10,16,21;n,e,s;;;;
2017-09-30T14:34:15.929050;17;;9;Run Clicked;10,16,21;n,e,s;;;;
2017-09-30T14:34:19.984858;17;0;10;Sequence Generated;10,16,21;Flock North->Flock East->Flock South;100000.000000;INVALID;INCOMPLETE;
2017-09-30T14:34:23.350702;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:34:24.294928;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-30T14:34:24.454925;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-30T14:34:25.239105;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-30T14:34:25.414944;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-30T14:34:27.359964;;;;Add button clicked! Item is Rendezvous;;;;;;
2017-09-30T14:34:29.374689;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:34:29.807653;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:34:35.970163;17;;10;Submit Clicked;10,16,21,23;n,e,s,r;;;;
2017-09-30T14:34:37.650221;17;;10;Submit Clicked;10,16,21,23;n,e,s,r;;;;
2017-09-30T14:34:37.650560;17;;10;Run Clicked;10,16,21,23;n,e,s,r;;;;
2017-09-30T14:34:42.704922;17;0;11;Sequence Generated;10,16,21,23;Flock North->Flock East->Flock South->Rendezvous;100000.000000;INVALID;COMPLETE;
2017-09-30T14:35:39.878739;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-30T14:35:41.215104;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-30T14:35:47.814781;;;;Sequence table clicked! Item is Flock East;;;;;;
2017-09-30T14:35:47.958742;;;;Sequence table clicked! Item is Flock East;;;;;;
2017-09-30T14:35:49.680834;;;;Delete button clicked! Item is Flock East;;;;;;
2017-09-30T14:35:51.504951;;;;Delete button clicked! Item is Flock South;;;;;;
2017-09-30T14:35:51.984277;;;;Delete button clicked! Item is Rendezvous;;;;;;
2017-09-30T14:35:53.086737;;;;Sequence table clicked! Item is Flock North;;;;;;
2017-09-30T14:35:53.936661;;;;Delete button clicked! Item is Flock North;;;;;;
2017-09-30T14:35:54.575503;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-30T14:35:56.839131;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-30T14:35:59.792094;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:36:01.846761;;;;Behavior table clicked! Item is Flock West;;;;;;
2017-09-30T14:36:03.104029;;;;Add button clicked! Item is Flock West;;;;;;
2017-09-30T14:36:04.015637;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:36:05.398849;;;;Behavior table clicked! Item is Flock North;;;;;;
2017-09-30T14:36:07.263876;;;;Add button clicked! Item is Flock North;;;;;;
2017-09-30T14:36:13.302810;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:36:14.503135;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:36:15.079122;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:36:21.375135;;;;Behavior table clicked! Item is Flock West;;;;;;
2017-09-30T14:36:22.247972;;;;Add button clicked! Item is Flock West;;;;;;
2017-09-30T14:36:24.016305;;;;Sequence table clicked! Item is Flock West;;;;;;
2017-09-30T14:36:26.087129;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-30T14:36:26.783934;;;;Add button clicked! Item is Flock East;;;;;;
2017-09-30T14:36:28.214853;;;;Sequence table clicked! Item is Flock East;;;;;;
2017-09-30T14:36:29.783729;;;;Delete button clicked! Item is Flock East;;;;;;
2017-09-30T14:36:30.910810;;;;Sequence table clicked! Item is Flock West;;;;;;
2017-09-30T14:36:31.671890;;;;Delete button clicked! Item is Flock West;;;;;;
2017-09-30T14:36:32.518904;;;;Behavior table clicked! Item is Flock East;;;;;;
2017-09-30T14:36:33.736178;;;;Add button clicked! Item is Flock East;;;;;;
2017-09-30T14:36:35.934905;;;;Sequence table clicked! Item is ;;;;;;
2017-09-30T14:36:37.383123;;;;Behavior table clicked! Item is Rendezvous;;;;;;
2017-09-30T14:36:38.839820;;;;Add button clicked! Item is Rendezvous;;;;;;
2017-09-30T14:36:40.357634;17;;11;Submit Clicked;1,10,16,18;w,n,e,r;;;;
2017-09-30T14:36:42.040882;17;;11;Submit Clicked;1,10,16,18;w,n,e,r;;;;
2017-09-30T14:36:42.041218;17;;11;Run Clicked;1,10,16,18;w,n,e,r;;;;
2017-09-30T14:36:47.088567;17;0;12;Sequence Generated;1,10,16,18;Flock West->Flock North->Flock East->Rendezvous;100000.000000;INVALID;INCOMPLETE;
2017-09-30T14:37:08.431393;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;;
2017-09-30T14:37:10.610399;17;;12;Submit Clicked;2,11,17,19;w,n,e,r;;;;
2017-09-30T14:37:12.409133;17;;12;Submit Clicked;2,11,17,19;w,n,e,r;;;;
2017-09-30T14:37:12.409488;17;;12;Run Clicked;2,11,17,19;w,n,e,r;;;;
2017-09-30T14:37:17.457288;17;0;13;Sequence Generated;2,11,17,19;Flock West->Flock North->Flock East->Rendezvous;621.297729;VALID;INCOMPLETE;
2017-09-30T14:38:08.703240;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-30T14:38:10.607392;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-30T14:38:18.430751;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
2017-09-30T14:38:25.446870;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:38:27.199185;;;;Sequence table clicked! Item is Rendezvous;;;;;;
2017-09-30T14:38:28.519805;;;;Delete button clicked! Item is Rendezvous;;;;;;
2017-09-30T14:38:29.387860;17;;13;Submit Clicked;2,9,15;w,n,e;;;;
2017-09-30T14:38:31.681116;17;;13;Submit Clicked;2,9,15;w,n,e;;;;
2017-09-30T14:38:31.681416;17;;13;Run Clicked;2,9,15;w,n,e;;;;
2017-09-30T14:38:35.729175;17;0;14;Sequence Generated;2,9,15;Flock West->Flock North->Flock East;468.138245;VALID;INCOMPLETE;
2017-09-30T14:38:40.142942;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;;
2017-09-30T14:38:53.879116;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;;
2017-09-30T14:38:59.407503;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;;
