TIME;ID;MAP NUMBER;ITERATION;DESCRIPTION;TIME ARRAY;SEQUENCE ARRAY;COST;VALID;COMPLETE
2017-09-27T15:08:43.944796;5;18;12;Sequence Generated;2,4;Flock North->Rendezvous;139.439117;VALID;INCOMPLETE
2017-09-27T15:08:48.627383;;;;Sequence table clicked! Item is Rendezvous;;;;;
2017-09-27T15:08:49.043737;;;;Sequence table clicked! Item is ;;;;;
2017-09-27T15:08:49.948506;;;;Add button clicked! Item is Rendezvous;;;;;
2017-09-27T15:08:51.595197;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;
2017-09-27T15:08:52.557880;5;;12;Submit Clicked;2,4,5;n,r,r;;;
2017-09-27T15:08:53.292952;5;;12;Submit Clicked;2,4,5;n,r,r;;;
2017-09-27T15:08:53.293259;5;;12;Run Clicked;2,4,5;n,r,r;;;
2017-09-27T15:08:53.321143;5;18;13;Sequence Generated;2,4,5;Flock North->Rendezvous->Rendezvous;165.893036;VALID;INCOMPLETE
2017-09-27T15:09:03.546829;;;;Behavior table clicked! Item is Flock North;;;;;
2017-09-27T15:09:04.499825;;;;Add button clicked! Item is Flock North;;;;;
2017-09-27T15:09:05.082783;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;
2017-09-27T15:09:07.621383;5;;13;Submit Clicked;2,4,5,8;n,r,r,n;;;
2017-09-27T15:09:12.478050;5;;13;Submit Clicked;2,4,5,8;n,r,r,n;;;
2017-09-27T15:09:12.478351;5;;13;Run Clicked;2,4,5,8;n,r,r,n;;;
2017-09-27T15:09:12.509571;5;18;14;Sequence Generated;2,4,5,8;Flock North->Rendezvous->Rendezvous->Flock North;100000;INVALID;INCOMPLETE
2017-09-27T15:09:19.185972;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;
2017-09-27T15:09:20.916023;5;;14;Submit Clicked;1,3,4,7;n,r,r,n;;;
2017-09-27T15:09:22.163964;5;;14;Submit Clicked;1,3,4,7;n,r,r,n;;;
2017-09-27T15:09:22.164312;5;;14;Run Clicked;1,3,4,7;n,r,r,n;;;
2017-09-27T15:09:22.205152;5;18;15;Sequence Generated;1,3,4,7;Flock North->Rendezvous->Rendezvous->Flock North;100000;INVALID;INCOMPLETE
2017-09-27T15:09:29.305456;;;;Sequence table clicked! Item is Flock North;;;;;
2017-09-27T15:09:31.034210;;;;Delete button clicked! Item is Flock North;;;;;
2017-09-27T15:09:31.979643;5;;15;Submit Clicked;1,3,4,7;r,r,n;;;
2017-09-27T15:09:36.051136;5;;15;Submit Clicked;1,3,4,7;r,r,n;;;
2017-09-27T15:09:36.051577;5;;15;Run Clicked;1,3,4,7;r,r,n;;;
2017-09-27T15:09:36.060605;5;18;16;Sequence Generated;1,3,4,7;Rendezvous->Rendezvous->Flock North;100000;INVALID;INCOMPLETE
2017-09-27T15:09:42.024817;;;;Behavior table clicked! Item is Flock West;;;;;
2017-09-27T15:09:44.737437;;;;Add button clicked! Item is Flock West;;;;;
2017-09-27T15:09:45.539604;5;;16;Submit Clicked;1,3,4,7;r,r,n,w;;;
2017-09-27T15:09:49.354558;5;;16;Submit Clicked;1,3,4,7;r,r,n,w;;;
2017-09-27T15:09:49.354853;5;;16;Run Clicked;1,3,4,7;r,r,n,w;;;
2017-09-27T15:09:49.373784;5;18;17;Sequence Generated;1,3,4,7;Rendezvous->Rendezvous->Flock North->Flock West;100000;INVALID;INCOMPLETE
2017-09-27T15:09:56.874731;5;;;Next Clicked;;;;;
2017-09-27T15:10:02.703503;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;
2017-09-27T15:10:03.911913;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;
2017-09-27T15:10:04.231502;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;
2017-09-27T15:10:04.639516;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;
2017-09-27T15:10:05.071498;;;;Sequence table clicked! Item is Duration for (row,col) (4,1);;;;;
2017-09-27T15:10:05.695449;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;
2017-09-27T15:10:06.175473;;;;Sequence table clicked! Item is Duration for (row,col) (5,1);;;;;
2017-09-27T15:10:06.559384;;;;Sequence table clicked! Item is Duration for (row,col) (6,1);;;;;
2017-09-27T15:10:06.975491;;;;Sequence table clicked! Item is Duration for (row,col) (7,1);;;;;
2017-09-27T15:10:07.319780;;;;Sequence table clicked! Item is Duration for (row,col) (8,1);;;;;
2017-09-27T15:10:08.055721;;;;Sequence table clicked! Item is Duration for (row,col) (9,1);;;;;
2017-09-27T15:10:08.863214;5;;0;Submit Clicked;5,10,15,20,25,30,35,40,45,50;;;;
2017-09-27T15:10:09.658628;5;;0;Submit Clicked;5,10,15,20,25,30,35,40,45,50;;;;
2017-09-27T15:10:09.658900;5;;0;Run Clicked;5,10,15,20,25,30,35,40,45,50;;;;
2017-09-27T15:10:12.286278;5;15;1;Sequence Generated;5,10,15,20,25,30,35,40,45,50;Flocking->Flock East->Flock South->Flock South->Flock South->Flock West->Rendezvous;1045.575684;VALID;COMPLETE
2017-09-27T15:10:25.718798;;;;Sequence table clicked! Item is Duration for (row,col) (7,1);;;;;
2017-09-27T15:10:26.222792;;;;Sequence table clicked! Item is Duration for (row,col) (7,1);;;;;
2017-09-27T15:10:26.974501;;;;Sequence table clicked! Item is Duration for (row,col) (8,1);;;;;
2017-09-27T15:10:28.278643;;;;Sequence table clicked! Item is Duration for (row,col) (9,1);;;;;
2017-09-27T15:10:31.241381;5;;1;Submit Clicked;5,10,15,20,25,30,35;i,e,s,s,s,w,r;;;
2017-09-27T15:10:34.976976;5;;;Next Clicked;;;;;
2017-09-27T15:10:38.453896;;;;Sequence table clicked! Item is Duration for (row,col) (0,1);;;;;
2017-09-27T15:10:40.326147;;;;Sequence table clicked! Item is Duration for (row,col) (1,1);;;;;
2017-09-27T15:10:41.542139;;;;Sequence table clicked! Item is Duration for (row,col) (2,1);;;;;
2017-09-27T15:10:42.181880;;;;Sequence table clicked! Item is Duration for (row,col) (3,1);;;;;
2017-09-27T15:10:42.646010;;;;Sequence table clicked! Item is Duration for (row,col) (4,1);;;;;
2017-09-27T15:10:44.566042;;;;Sequence table clicked! Item is Duration for (row,col) (5,1);;;;;
2017-09-27T15:10:45.536505;5;;0;Submit Clicked;3,7,12,18,22,26;;;;
2017-09-27T15:10:46.584340;5;;0;Submit Clicked;3,7,12,18,22,26;;;;
2017-09-27T15:10:46.584867;5;;0;Run Clicked;3,7,12,18,22,26;;;;
2017-09-27T15:10:46.684977;5;9;1;Sequence Generated;3,7,12,18,22,26;Flock North->Rendezvous->Rendezvous->Rendezvous->Rendezvous->Rendezvous;155.46051;VALID;INCOMPLETE
2017-09-27T15:10:54.421573;;;;Sequence table clicked! Item is Duration for (row,col) (6,1);;;;;
2017-09-27T15:10:55.797565;;;;Sequence table clicked! Item is Duration for (row,col) (7,1);;;;;
2017-09-27T15:10:56.221235;;;;Sequence table clicked! Item is Duration for (row,col) (8,1);;;;;
2017-09-27T15:10:57.035499;5;;1;Submit Clicked;3,7,12,18,22,26,32,39,47;n,r,r,r,r,r;;;
2017-09-27T15:10:57.632465;5;;1;Submit Clicked;3,7,12,18,22,26,32,39,47;n,r,r,r,r,r;;;
2017-09-27T15:10:57.632750;5;;1;Run Clicked;3,7,12,18,22,26,32,39,47;n,r,r,r,r,r;;;
2017-09-27T15:10:57.726036;5;9;2;Sequence Generated;3,7,12,18,22,26,32,39,47;Flock North->Rendezvous->Rendezvous->Rendezvous->Rendezvous->Rendezvous;155.46051;VALID;INCOMPLETE
2017-09-27T15:11:06.565150;;;;Sequence table clicked! Item is Rendezvous;;;;;
2017-09-27T15:11:08.141641;;;;Delete button clicked! Item is Rendezvous;;;;;
2017-09-27T15:11:09.845039;;;;Sequence table clicked! Item is Flock North;;;;;
2017-09-27T15:11:10.765526;;;;Delete button clicked! Item is Flock North;;;;;
2017-09-27T15:11:10.934257;;;;Delete button clicked! Item is Rendezvous;;;;;
2017-09-27T15:11:11.125624;;;;Delete button clicked! Item is Rendezvous;;;;;
2017-09-27T15:11:11.325625;;;;Delete button clicked! Item is Rendezvous;;;;;
